GREVESSE 93 MIX X=0.35  Z=0.10
15 17 3.400 -7.0  -4.208  -4.306  -4.419  -4.527  -4.607  -4.638  -4.611  -4.507
  -4.242  -3.726  -3.034  -2.359  -1.801  -1.431  -1.246  -1.167  -1.132
16 17 3.350 -7.0  -4.675  -4.762  -4.799  -4.787  -4.743  -4.657  -4.432  -3.957
  -3.273  -2.582  -2.001  -1.621  -1.443  -1.373  -1.345  -1.330  -1.322
17 17 3.300 -7.0  -4.902  -4.875  -4.850  -4.775  -4.532  -4.030  -3.332  -2.629
  -2.070  -1.747  -1.615  -1.568  -1.550  -1.540  -1.535  -1.532  -1.530
18 17 3.250 -7.0  -4.993  -4.868  -4.508  -3.896  -3.157  -2.491  -2.056  -1.868
  -1.803  -1.781  -1.770  -1.765  -1.762  -1.761  -1.760  -1.758  -1.758
19 17 3.200 -7.0  -4.193  -3.460  -2.768  -2.308  -2.121  -2.061  -2.040  -2.032
  -2.027  -2.026  -2.025  -2.026  -2.026  -2.026  -2.025  -2.026   -.583
20 17 3.150 -7.0  -2.331  -2.224  -2.192  -2.182  -2.177  -2.175  -2.175  -2.175
  -2.176  -2.175  -2.177   -.860   -.652   -.464   -.344    .276    .704
21 17 3.100 -7.0  -2.171  -2.171  -2.171  -2.171  -2.172  -2.173  -1.116   -.830
   -.580   -.063    .346    .428    .649    .814    .913    .955    .990
22 17 3.050 -7.0  -2.170  -2.170   -.948   -.681   -.364    .229    .457    .568
    .675    .765    .853    .892    .928    .936    .938    .938    .938
23 17 3.000 -7.0   -.024    .183    .413    .557    .652    .732    .811    .874
    .883    .885    .885    .886    .886    .886    .886    .886    .886
GREVESSE 93 MIX X=0.35  Z=0.03
 1 17 4.100 -7.0   -.677   -.671   -.654   -.607   -.488   -.264    .085    .517
    .972   1.404   1.777   2.061   2.262   2.406   2.526   2.643   2.774
 2 17 4.050 -7.0   -.714   -.734   -.731   -.665   -.501   -.229    .153    .579
    .992   1.345   1.608   1.791   1.922   2.029   2.136   2.256   2.403
 3 17 4.000 -7.0   -.804   -.797   -.752   -.647   -.468   -.191    .164    .529
    .844   1.073   1.233   1.352   1.454   1.558   1.678   1.822   1.999
 4 17 3.950 -7.0   -.819   -.789   -.732   -.629   -.464   -.230    .029    .259
    .432    .560    .665    .770    .882   1.012   1.164   1.346   1.562
 5 17 3.900 -7.0   -.808   -.778   -.732   -.660   -.567   -.463   -.373   -.293
   -.213   -.125   -.018    .110    .260    .432    .627    .850   1.102
 6 17 3.850 -7.0   -.813   -.809   -.817   -.848   -.904   -.965  -1.009  -1.015
   -.970   -.872   -.732   -.560   -.365   -.148    .088    .354    .656
 7 17 3.800 -7.0   -.908  -1.002  -1.138  -1.299  -1.465  -1.617  -1.730  -1.775
  -1.733  -1.610  -1.429  -1.213   -.971   -.708   -.413   -.075    .304
 8 17 3.750 -7.0  -1.286  -1.486  -1.698  -1.911  -2.117  -2.301  -2.441  -2.500
  -2.452  -2.306  -2.085  -1.817  -1.505  -1.146   -.745   -.326    .080
 9 17 3.700 -7.0  -1.919  -2.148  -2.374  -2.591  -2.794  -2.970  -3.102  -3.151
  -3.083  -2.893  -2.596  -2.215  -1.783  -1.342   -.921   -.534   -.177
10 17 3.650 -7.0  -2.666  -2.880  -3.082  -3.267  -3.433  -3.567  -3.644  -3.620
  -3.461  -3.160  -2.766  -2.337  -1.918  -1.531  -1.181   -.862   -.560
11 17 3.600 -7.0  -3.392  -3.553  -3.697  -3.814  -3.888  -3.905  -3.855  -3.723
  -3.498  -3.199  -2.863  -2.523  -2.201  -1.900  -1.611  -1.316  -1.011
12 17 3.550 -7.0  -3.921  -3.988  -4.015  -4.009  -3.976  -3.921  -3.843  -3.738
  -3.596  -3.417  -3.205  -2.963  -2.696  -2.407  -2.093  -1.765  -1.444
13 17 3.500 -7.0  -4.074  -4.054  -4.027  -4.002  -3.990  -3.997  -4.011  -4.012
  -3.977  -3.890  -3.731  -3.475  -3.110  -2.638  -2.095  -1.562  -1.144
14 17 3.450 -7.0  -4.079  -4.091  -4.127  -4.185  -4.262  -4.349  -4.423  -4.453
  -4.420  -4.280  -3.943  -3.403  -2.753  -2.116  -1.600  -1.275  -1.109
15 17 3.400 -7.0  -4.295  -4.386  -4.494  -4.604  -4.693  -4.739  -4.727  -4.632
  -4.373  -3.862  -3.172  -2.491  -1.928  -1.555  -1.368  -1.288  -1.253
